BranchName,Address,City,IsOpen24Hours,LatitudeY,LongitudeX,xITM,yITM
Super Pharm,"Yad Harutsim St 18, Jerusalem, Israel",Jerusalem,True,31.7509469,35.2153861,628742.9207148212,220559.41807050983
Super-Pharm,"Jerusalem Central Station, Jaffa St 234, Jerusalem, Israel",Jaffa St 234,True,31.7891686,35.2034022,632981.0271172042,219424.00727259365
Super-Pharm,"Shlomo Ibn Gabirol St 62, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0792868,34.7816028,665229.4533779448,179601.0982841057
Super-Pharm,"HaTa'arucha St 3, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.0985233,34.7754244,667364.9014436924,179026.26060084428
סופר-פארם איכילוב,"Weizmann St 14 א, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,True,32.08142780000001,34.7898728,665463.8384149352,180382.81028563075
Super-Pharm,"יכין סנטר, Derech Yitshak Rabin 17, Petah Tikva, Israel",Derech Yitshak Rabin 17,True,32.0873596,34.8604253,666098.1903847556,187045.84633183831
Super-Pharm,"Ha-Mif'al St 11, Or Yehuda, Israel",Or Yehuda,True,32.0344368,34.849517,660232.9420217797,185996.74843867216
Super-Pharm,"Sokolov St 25, Herzliya, Israel",Herzliya,True,32.1673997,34.841295,674979.8196058043,185269.77631652815
Super-Pharm,"Tsamarot St 2, Herzliya, Israel",Herzliya,True,32.1515256,34.8428763,673219.0175245369,185413.014455173
Super-Pharm,"Ha-Histadrut St 3, Jerusalem, Israel",Jerusalem,True,31.7817653,35.2170531,632160.188918032,220716.96987237353
Super-Pharm,"Abba Hillel Silver Rd 165, Ramat Gan, Israel",Ramat Gan,True,32.1009906,34.8269394,667620.311352743,183889.90601539277
Super-Pharm,"Bialik St 76, Ramat Gan, Israel",Ramat Gan,True,32.0857379,34.8116101,665934.1045359946,182436.7957456075
Super-Pharm,"David Ben Gurion Rd 183, Ramat Gan, Israel",Ramat Gan,True,32.0744089,34.8187477,664675.3987771713,183106.14060497854
Super-Pharm,"דיזנגוף 129 פינת, J. L. Gordon St, Tel Aviv-Yafo, Israel",J. L. Gordon St,True,32.0817292,34.7736591,665503.2596736809,178852.187319687
Super-Pharm,"Herzl St 182, Rehovot, Israel",Rehovot,True,31.8968759,34.8110362,644991.6674263428,182306.41781246805
Super-Pharm,"הרצל 58 קניון, Netanya, Israel",Netanya,True,32.3260279,34.8615113,692564.2788986774,187232.8172361405
Super-Pharm,"HaBanim St 1, Ashdod, Israel",Ashdod,True,31.7949197,34.6399758,633757.5115960435,166065.17666506258
Super Pharm,"Emek Refa'im St 24, Jerusalem, Israel",Jerusalem,True,31.76446899999999,35.220536,630242.3563478253,221047.14173297383
Super-Pharm,"Emek Beit She'an St 29, Modi'in-Maccabim-Re'ut, Israel",Modi'in-Maccabim-Re'ut,True,31.9117252,35.0015534,646588.6814907982,200332.42256649476
Super-Pharm,"רמב""ם 3, Ramat Gan, Israel",Ramat Gan,True,32.0839976,34.8145385,665740.1190725004,182712.55862481042
Super Pharm Sheinkin,"פינת, Sheinkin St 62, Tel Aviv-Yafo, Israel",Sheinkin St 62,True,32.0683356,34.7769454,664016.8058836153,179156.56449089482
Super-Pharm,"HaShalom Rd 53, Giv'atayim, Israel",Giv'atayim,True,32.0673942,34.8030249,663902.9546578646,181618.72535827587
Super-Pharm,"Kanfei Nesharim St 22, Jerusalem, Israel",Jerusalem,True,31.7879666,35.1883794,632847.8575605232,218001.18773218512
Super-Pharm,"נאות שקמה, Moreshet Yisra'el St 15, Rishon LeTsiyon, Israel",Moreshet Yisra'el St 15,True,31.97568,34.7738972,653743.433945956,178827.79228666518
Super-Pharm,"Ussishkin St 62, Ramat Hasharon, Israel",Ramat Hasharon,True,32.1434228,34.8440529,672320.1169195159,185521.00561078516
Super-Pharm,"Sderot Yerushalayim 51, Kiryat Yam, Israel",Kiryat Yam,True,32.8430816,35.0693358,749860.8170904198,206874.0665356388
Super-Pharm,"Shlomo ha-Melekh St 9, Jerusalem",Jerusalem,True,31.777585,35.2255988,631696.7868238064,221526.48197248668
Super-Pharm,"Bialik St 10, Ramat Gan, Israel",Ramat Gan,True,32.0797237,34.81501009999999,665266.0249553578,182755.37040093407
